tax_year,carried_losses_gbp,net_gain_gbp,estimated_cgt_due_gbp,last_updated
2023/24,0,213.0,0.0,2026-06-18 16:05:17.188611
2024/25,0,-1258.0,0.0,2026-06-18 16:05:17.213072
2025/26,0,16921.0,2784.2000000000003,2026-06-18 16:05:17.235330
2026/27,0,4080.0,216.0,2026-06-18 16:05:17.254019
