collected_timestamp,date,symbol,open,high,low,close,volume,source
2026-05-20 16:09:30.478454,2026-05-20,PATH,10.375,10.574999809265137,10.100000381469727,10.545000076293945,6861775.0,YahooFinance
2026-05-20 16:09:30.548711,2026-05-20,INOD,89.86000061035156,93.43900299072266,86.75,92.86000061035156,646603.0,YahooFinance
2026-05-20 16:09:30.610071,2026-05-20,NOW,100.75,101.4800033569336,97.5,100.97000122070312,11689866.0,YahooFinance
2026-05-20 16:09:30.671379,2026-05-20,FIVN,22.030000686645508,22.100000381469727,21.079999923706055,21.915000915527344,952858.0,YahooFinance
2026-05-20 16:09:30.763177,2026-05-20,ADBE,250.27499389648438,250.77999877929688,246.21240234375,250.7100067138672,1375684.0,YahooFinance
2026-05-20 16:09:30.852485,2026-05-20,QLYS,98.2699966430664,101.375,97.45500183105469,101.21499633789062,137496.0,YahooFinance
2026-05-20 16:09:30.919693,2026-05-20,SWKS,70.5,72.2300033569336,70.30999755859375,72.05000305175781,687694.0,YahooFinance
2026-05-20 16:09:31.008544,2026-05-20,MSFT,413.9859924316406,416.55499267578125,411.30010986328125,415.70001220703125,8020955.0,YahooFinance
2026-05-20 16:09:31.090872,2026-05-20,APP,476.0,477.17999267578125,461.0,469.239990234375,741862.0,YahooFinance
2026-05-20 16:09:31.156299,2026-05-20,DDOG,212.38999938964844,220.35000610351562,211.25,213.6300048828125,1434401.0,YahooFinance
2026-05-20 16:09:31.212126,2026-05-20,ALAB,250.49000549316406,276.1499938964844,250.44000244140625,273.4949951171875,4221937.0,YahooFinance
2026-05-20 16:09:31.279347,2026-05-20,SNDK,1438.43994140625,1443.4449462890625,1366.97998046875,1404.56494140625,4650512.0,YahooFinance
2026-05-20 16:09:31.384690,2026-05-20,SCHW,92.31999969482422,92.55999755859375,90.9800033569336,91.02999877929688,1518438.0,YahooFinance
2026-05-20 16:09:31.524177,2026-05-20,SGE.L,894.7999877929688,900.0,871.0,887.2000122070312,2643691.0,YahooFinance
2026-05-20 16:09:31.756717,2026-05-20,IBM,221.0500030517578,221.6300048828125,216.80999755859375,221.4199981689453,991544.0,YahooFinance
2026-05-20 16:09:31.872216,2026-05-20,AAPL,298.17999267578125,302.3699951171875,298.0899963378906,299.260009765625,9945584.0,YahooFinance
2026-05-20 16:09:32.081460,2026-05-20,KO,82.16999816894531,82.28990173339844,81.5199966430664,81.95500183105469,3382234.0,YahooFinance
2026-05-20 16:09:32.143989,2026-05-20,AMBA,77.86000061035156,81.70500183105469,77.86000061035156,81.4800033569336,185730.0,YahooFinance
2026-05-20 16:09:32.201981,2026-05-20,META,600.7000122070312,605.364990234375,597.8099975585938,604.625,3995149.0,YahooFinance
2026-05-20 16:09:32.283147,2026-05-20,SOUN,8.460000038146973,8.59000015258789,8.329999923706055,8.484999656677246,6610435.0,YahooFinance
2026-05-20 16:09:32.391976,2026-05-20,ORCL,179.94000244140625,184.44000244140625,178.8000030517578,184.0,5824211.0,YahooFinance
2026-05-20 16:09:32.456278,2026-05-20,GOOG,385.2200012207031,390.69989013671875,380.010009765625,381.5799865722656,5163005.0,YahooFinance
2026-05-20 16:09:32.519853,2026-05-20,AMZN,260.04998779296875,264.5950012207031,259.5329895019531,263.9200134277344,10287449.0,YahooFinance
2026-05-20 16:09:32.591093,2026-05-20,MRVL,183.0399932861328,193.32000732421875,182.27999877929688,188.7100067138672,14437386.0,YahooFinance
2026-05-20 16:09:32.648689,2026-05-20,ENVX,5.570000171661377,5.840000152587891,5.434999942779541,5.822500228881836,2084299.0,YahooFinance
2026-05-20 16:09:32.747257,2026-05-20,TSM,397.0,403.0299987792969,395.9700012207031,402.8500061035156,4290360.0,YahooFinance
2026-05-20 16:09:32.797388,2026-05-20,TEM,45.06999969482422,45.65999984741211,44.29999923706055,45.119998931884766,1474440.0,YahooFinance
2026-05-20 16:09:32.874714,2026-05-20,AVGO,412.80499267578125,421.6778869628906,411.4200134277344,421.5450134277344,5141896.0,YahooFinance
2026-05-20 16:09:32.932961,2026-05-20,SKYT,34.529998779296875,35.189998626708984,34.25,34.93000030517578,250302.0,YahooFinance
2026-05-20 16:09:32.990040,2026-05-20,AI,8.75,9.239899635314941,8.568699836730957,9.1899995803833,1883513.0,YahooFinance
2026-05-20 16:09:33.055066,2026-05-20,ANET,142.0,143.22000122070312,140.8699951171875,141.21499633789062,2124766.0,YahooFinance
2026-05-20 16:09:33.115258,2026-05-20,PLAB,46.939998626708984,48.81999969482422,46.82500076293945,48.27000045776367,152790.0,YahooFinance
2026-05-20 16:09:33.197338,2026-05-20,NVDA,223.10000610351562,225.3000030517578,220.4949951171875,224.9149932861328,54007614.0,YahooFinance
2026-05-20 16:09:33.249574,2026-05-20,HOOD,74.83999633789062,75.5999984741211,73.75,75.08999633789062,6402785.0,YahooFinance
2026-05-20 16:09:33.315847,2026-05-20,LPTH,14.270000457763672,14.350000381469727,12.930000305175781,13.3100004196167,1745468.0,YahooFinance
2026-05-20 16:09:33.378498,2026-05-20,AMD,428.0400085449219,446.2900085449219,426.04998779296875,444.6400146484375,14860391.0,YahooFinance
2026-05-20 16:09:33.446437,2026-05-20,TSLA,407.6449890136719,413.8999938964844,406.3900146484375,410.6650085449219,17135594.0,YahooFinance
2026-05-20 16:09:33.533587,2026-05-20,ASML,1500.3299560546875,1547.760009765625,1492.317138671875,1540.4267578125,736168.0,YahooFinance
2026-05-20 16:09:33.631189,2026-05-20,MU,734.9550170898438,735.6599731445312,700.6599731445312,717.64501953125,21684605.0,YahooFinance
2026-05-20 16:09:33.704237,2026-05-20,BBAI,3.880000114440918,4.139999866485596,3.8499999046325684,4.074999809265137,17128857.0,YahooFinance
2026-05-20 16:09:33.777105,2026-05-20,CRDO,172.3000030517578,182.77000427246094,171.30999755859375,181.9550018310547,2780953.0,YahooFinance
2026-05-20 16:09:33.828656,2026-05-20,CRWV,101.57499694824219,102.19560241699219,98.0999984741211,100.73999786376953,7639510.0,YahooFinance
2026-05-20 16:09:33.959081,2026-05-20,INTC,116.22000122070312,121.94000244140625,116.22000122070312,117.41999816894531,83241876.0,YahooFinance
2026-05-20 16:09:34.054764,2026-05-20,SMCI,31.049999237060547,33.189998626708984,30.8700008392334,32.86000061035156,15217387.0,YahooFinance
2026-05-20 16:09:34.121400,2026-05-20,AAOI,176.5,179.29710388183594,164.1199951171875,164.85000610351562,3694585.0,YahooFinance
2026-05-20 16:09:34.177870,2026-05-20,AEHR,86.0,86.5,80.55000305175781,82.80999755859375,699686.0,YahooFinance
2026-05-20 16:09:34.237916,2026-05-20,LWLG,11.8100004196167,12.149999618530273,11.010000228881836,11.5600004196167,2481196.0,YahooFinance
2026-05-20 16:09:34.321736,2026-05-20,ARM,226.5399932861328,259.44000244140625,226.5399932861328,255.72000122070312,10435527.0,YahooFinance
2026-05-20 16:09:34.376659,2026-05-20,IONQ,49.25,51.790000915527344,48.35499954223633,51.24639892578125,8327117.0,YahooFinance
2026-05-20 16:09:34.430774,2026-05-20,POET,14.704999923706055,14.880000114440918,13.720000267028809,13.929900169372559,27704132.0,YahooFinance
